"TradeDate","Expiry","Strike","SpotIn","PremiumIn","SpotOut","PremiumOut","PnL"
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,31.35,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,33.25,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,34.5,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,36.15,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,39.2,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,42.95,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,48.24,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,51.31,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,52.2,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,60.59,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,68.9,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,79.35,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,80.2,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,84.6,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,93.5,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,99.44,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,117.3,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,123.6,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,154.15,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,154.61,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,184,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,210,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,259.26,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,301.14,0.78
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,0.04,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,4.94,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,9.35,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,12.6,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,14.34,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,16.06,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,18.7,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,19.6,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,21.9,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,23.39,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,24.86,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,26.6,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,28.8,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,29.94,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,31.55,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,33.51,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,34.75,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,39.55,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,42.36,0.04
